"","estado","ecotonos","savana","floresta","natural","lucc","composicao","map","cv","msi","area","sd","iqr","flo","sav","ihh","ih"
"35","RO",40,0.001286645,0.7596896,0.7609763,0.2390237,"S/Fe",1985.34319288666,0.0713439898795019,0.489873985210214,0.04555990226,15.96182,3,0.998309145764461,0.0016907819599638,0.996618363804497,0.00338163619550313
"36","RO",28,0.001464359,0.002204213,0.003668572,0.9963314,"S/Fe",1921.31597939053,0.0848856580036552,0.488065465183434,0.03374970668,8.367162,11,0.600836783358756,0.399163216641243,0.201673566717513,0.798326433282487
"37","MT",197,0.09748774,0.5283562,0.6258439,0.3741561,"S/Fe",1792.6712718171,0.107319859478717,0.562178628547042,1.83777122878,24.91999,17,0.844230006875517,0.155770057038185,0.688459949837332,0.311540050162668
"38","MT",185,0.101468,0.7934072,0.8948752,0.1051248,"S/Fe",1747.19139263437,0.128705485861526,0.584061939384174,3.21106814829,15.36267,10,0.886612122003158,0.113387877996842,0.773224244006315,0.226775755993685
"39","MT",41,0.02805596,0.5715229,0.5995788,0.4004212,"Fo/Fe",1840.3682387584,0.0851266951300935,0.495750063819045,0.04724848628,22.38778,11,0.953207318204046,0.0467927818662034,0.906414536337843,0.0935854636621575
"40","MT",42,0.0005179036,0.8954317,0.8959496,0.1040504,"Fo/Fe",2032.13960559948,0.0788724889543514,0.508925683262851,1.19170043385,8.053092,1,0.999421954092061,0.000578049926022624,0.998843904166038,0.00115609583396203
"41","MT",55,0,0.6204988,0.6204988,0.3795012,"Fo/Fe",2028.57333336005,0.0737715028215076,0.525580699898284,0.05684116351,10.68914,3,1,0,1,0
"42","MT",92,0,0.5402147,0.5402147,0.4597853,"Fo/Fe",2038.75615036165,0.0998296798792349,0.533258005021382,0.12570531736,9.549499,3,1,0,1,0
"43","MT",52,0,0.7269779,0.7269779,0.2730221,"Fo/Fe",2161.3937700458,0.0989746328208873,0.4990849,0.08350489042,12.47796,3,1,0,1,0
"44","MT",53,0,0.7361623,0.7361623,0.2638377,"Fo/Fe",2101.54341177844,0.0865267582035965,0.48905342344604,0.05315747484,12.11154,3,1,0,1,0
"45","RO",32,0,0.8443996,0.8443996,0.1556004,"Fo/Fe",1939.23987026472,0.0776067333176484,0.493949756474948,0.18470417574,13.81545,10,1,0,1,0
"46","MT",187,0.007021334,0.7592864,0.7663077,0.2336923,"Fo/Fe",1924.7501414531,0.0736285171344047,0.494865623109301,14.1340261021,11.67369,3,0.990837492563366,0.00916255180523437,0.981674940758131,0.0183250592418686
